iso3,country,thinness_10-14,BMI.PAF_10-14,hiv_10-14,art_10-14,hiv.PAF_10-14,ppp_10-14,PPP.PAF_10-14,thinness_15-19,BMI.PAF_15-19,hiv_15-19,art_15-19,hiv.PAF_15-19,ppp_15-19,PPP.PAF_15-19,sex
COG,Congo,106.8 (106.5 to 107),6.3 (6.1 to 6.6),0.5 (0.4 to 0.6),14.8 (14.8 to 14.8),3.1 (1.4 to 5.5),0.6 (0.6 to 0.6),0.4 (0.2 to 0.5),99.2 (99.1 to 99.3),-0.8 (-0.9 to -0.7),0.9 (0.4 to 1.5),9.9 (9.9 to 9.9),5.7 (2.2 to 11.3),14.3 (14.3 to 14.3),7.9 (5.3 to 10.8),F
COG,Congo,118.7 (118 to 119.4),15.7 (15.2 to 16.2),0.5 (0.4 to 0.7),14.1 (14.1 to 14.1),3.2 (1.5 to 5.8),0 (0 to 0),0 (0 to 0),126.7 (125.8 to 127.7),21.1 (20.5 to 21.7),0.4 (0.3 to 0.5),21.3 (21.3 to 21.3),2.4 (1.2 to 4.4),0 (0 to 0),0 (0 to 0),M
ETH,Ethiopia,113.5 (113 to 114),11.9 (11.5 to 12.3),0.3 (0.2 to 0.4),29.9 (29.9 to 29.9),1.6 (0.7 to 2.9),0.1 (0.1 to 0.1),0.1 (0 to 0.1),108.3 (108 to 108.6),7.7 (7.4 to 7.9),0.4 (0.3 to 0.4),42.1 (42.1 to 42.1),1.6 (0.7 to 3),9.3 (9.3 to 9.3),5.2 (3.3 to 7.2),F
ETH,Ethiopia,127.5 (126.5 to 128.5),21.6 (21 to 22.1),0.3 (0.2 to 0.4),30.4 (30.4 to 30.4),1.6 (0.7 to 2.8),0 (0 to 0),0 (0 to 0),136.3 (135 to 137.6),26.6 (25.9 to 27.3),0.3 (0.2 to 0.3),53 (53 to 53),1.1 (0.5 to 2.1),0 (0 to 0),0 (0 to 0),M
GAB,Gabon,97.4 (97.4 to 97.5),-2.6 (-2.7 to -2.6),0.3 (0.2 to 0.4),67.8 (67.8 to 67.8),1.1 (0.4 to 2.1),0.4 (0.4 to 0.4),0.3 (0.2 to 0.4),91.1 (90.8 to 91.4),-9.8 (-10.1 to -9.5),0.8 (0.4 to 1.4),31.7 (31.7 to 31.7),4.3 (1.6 to 8.7),12.2 (12.2 to 12.2),6.8 (4.5 to 9.2),F
GAB,Gabon,112.1 (111.6 to 112.6),10.8 (10.4 to 11.2),0.3 (0.3 to 0.4),64.8 (64.8 to 64.8),1.2 (0.5 to 2.2),0 (0 to 0),0 (0 to 0),119.4 (118.7 to 120.1),16.3 (15.8 to 16.7),0.3 (0.2 to 0.4),95.1 (95.1 to 95.1),0.5 (0.1 to 1.1),0 (0 to 0),0 (0 to 0),M
IDN,Indonesia,115 (114.3 to 115.7),13 (12.5 to 13.5),0 (0 to 0),18.5 (18.5 to 18.5),0.1 (0 to 0.1),0 (0 to 0),0 (0 to 0),108.1 (107.8 to 108.4),7.5 (7.2 to 7.8),0.1 (0.1 to 0.1),2.4 (2.4 to 2.4),0.6 (0.3 to 1.2),3.6 (3.6 to 3.6),2.1 (1.4 to 2.9),F
IDN,Indonesia,113.2 (112.6 to 113.8),11.7 (11.2 to 12.2),0 (0 to 0),43.5 (43.5 to 43.5),0 (0 to 0.1),0 (0 to 0),0 (0 to 0),122.6 (121.6 to 123.5),18.4 (17.8 to 19),0.1 (0.1 to 0.1),2.3 (2.3 to 2.3),0.6 (0.3 to 1.1),0 (0 to 0),0 (0 to 0),M
IND,India,154 (151.7 to 156.2),35 (34.1 to 36),0 (0 to 0),80.8 (80.8 to 80.8),0 (0 to 0.1),0 (0 to 0),0 (0 to 0),147.4 (145.5 to 149.2),32.1 (31.3 to 33),0 (0 to 0),64.6 (64.6 to 64.6),0.1 (0 to 0.2),1.8 (1.8 to 1.8),1.1 (0.7 to 1.5),F
IND,India,159.1 (156.4 to 162),37.2 (36.1 to 38.3),0 (0 to 0),78.3 (78.3 to 78.3),0 (0 to 0.1),0 (0 to 0),0 (0 to 0),171.8 (168.5 to 175.4),41.8 (40.6 to 43),0 (0 to 0),86 (86 to 86),0.1 (0 to 0.1),0 (0 to 0),0 (0 to 0),M
KEN,Kenya,104 (103.8 to 104.2),3.9 (3.6 to 4.1),0.8 (0.7 to 1),57.8 (57.8 to 57.8),3.1 (1.4 to 5.5),0.1 (0.1 to 0.1),0.1 (0.1 to 0.1),97 (96.9 to 97.1),-3.1 (-3.2 to -3),1.4 (1.2 to 1.7),59.9 (59.9 to 59.9),5.1 (2.2 to 9.2),8 (8 to 8),4.6 (2.9 to 6.4),F
KEN,Kenya,120.8 (120 to 121.6),17.2 (16.7 to 17.7),0.9 (0.7 to 1),55.6 (55.6 to 55.6),3.3 (1.4 to 6),0 (0 to 0),0 (0 to 0),128.5 (127.5 to 129.4),22.2 (21.6 to 22.7),0.9 (0.8 to 1),63 (63 to 63),3.2 (1.3 to 5.8),0 (0 to 0),0 (0 to 0),M
LBR,Liberia,102.7 (102.5 to 102.8),2.6 (2.5 to 2.7),0.1 (0.1 to 0.2),22.8 (22.8 to 22.8),0.8 (0.4 to 1.5),0.6 (0.6 to 0.6),0.3 (0.2 to 0.5),99.8 (99.6 to 99.9),-0.2 (-0.4 to -0.1),0.3 (0.2 to 0.5),28.8 (28.8 to 28.8),1.8 (0.7 to 3.4),16.5 (16.5 to 16.5),9.1 (5.9 to 12.3),F
LBR,Liberia,119.5 (118.7 to 120.1),16.3 (15.8 to 16.8),0.1 (0.1 to 0.2),21.8 (21.8 to 21.8),0.8 (0.4 to 1.5),0 (0 to 0),0 (0 to 0),126.2 (125.4 to 127.1),20.8 (20.2 to 21.3),0.1 (0.1 to 0.2),31.8 (31.8 to 31.8),0.6 (0.3 to 1.1),0 (0 to 0),0 (0 to 0),M
LSO,Lesotho,86.8 (86.4 to 87.1),-15.3 (-15.7 to -14.8),3 (2.7 to 3.4),73.7 (73.7 to 73.7),8.2 (3.4 to 14.7),0.1 (0.1 to 0.1),0.1 (0 to 0.1),81 (80.5 to 81.5),-23.4 (-24.3 to -22.6),6.2 (4.4 to 8.2),39.9 (39.9 to 39.9),22.8 (11.9 to 37.3),9.6 (9.6 to 9.6),5.4 (3.4 to 7.6),F
LSO,Lesotho,119.2 (118.6 to 119.9),16.1 (15.7 to 16.6),3.2 (2.7 to 3.6),74.2 (74.2 to 74.2),8.4 (3.5 to 15.2),0 (0 to 0),0 (0 to 0),126.3 (125.4 to 127.1),20.8 (20.3 to 21.3),2.9 (2.1 to 3.7),60.3 (60.3 to 60.3),9.7 (4.2 to 17.2),0 (0 to 0),0 (0 to 0),M
MMR,Myanmar,123.6 (122.7 to 124.5),19.1 (18.5 to 19.7),0.1 (0.1 to 0.2),53.9 (53.9 to 53.9),0.4 (0.2 to 0.9),0.1 (0.1 to 0.1),0 (0 to 0.1),117.1 (116.4 to 117.7),14.6 (14.1 to 15),0.1 (0.1 to 0.2),98.5 (98.5 to 98.5),0.2 (0 to 0.4),4.3 (4.3 to 4.3),2.5 (1.6 to 3.5),F
MMR,Myanmar,122.2 (121.1 to 123.2),18.2 (17.5 to 18.9),0.1 (0.1 to 0.2),51.7 (51.7 to 51.7),0.5 (0.2 to 0.9),0 (0 to 0),0 (0 to 0),132 (130.7 to 133.4),24.2 (23.5 to 25),0.1 (0.1 to 0.1),75.1 (75.1 to 75.1),0.2 (0.1 to 0.5),0 (0 to 0),0 (0 to 0),M
MNG,Mongolia,95.2 (95.1 to 95.3),-5 (-5.2 to -4.9),0 (0 to 0),100 (100 to 100),0 (0 to 0),0 (0 to 0),0 (0 to 0),89.4 (89 to 89.7),-11.9 (-12.4 to -11.5),0 (0 to 0),100 (100 to 100),0 (0 to 0),3.7 (3.7 to 3.7),2.2 (1.4 to 3.1),F
MNG,Mongolia,94.7 (94.6 to 94.9),-5.5 (-5.7 to -5.4),0 (0 to 0),100 (100 to 100),0 (0 to 0),0 (0 to 0),0 (0 to 0),100.1 (100.1 to 100.2),0.1 (0.1 to 0.2),0 (0 to 0),100 (100 to 100),0 (0 to 0),0 (0 to 0),0 (0 to 0),M
MOZ,Mozambique,98.3 (98.3 to 98.4),-1.7 (-1.8 to -1.6),1.9 (1.6 to 2.3),26.6 (26.6 to 26.6),9.6 (4.8 to 16.5),1 (1 to 1),0.6 (0.4 to 0.9),92.9 (92.7 to 93.2),-7.6 (-7.9 to -7.4),5.6 (3.4 to 8.4),23.7 (23.7 to 23.7),23.8 (11.6 to 39.6),20.2 (20.2 to 20.2),10.7 (7 to 14.6),F
MOZ,Mozambique,109 (108.7 to 109.2),8.2 (8 to 8.5),1.9 (1.6 to 2.3),26.4 (26.4 to 26.4),9.6 (4.7 to 16.5),0 (0 to 0),0 (0 to 0),113.8 (113.4 to 114.2),12.1 (11.8 to 12.4),2 (1.1 to 3.2),29.5 (29.5 to 29.5),9.7 (4.1 to 18.7),0 (0 to 0),0 (0 to 0),M
NAM,Namibia,100.9 (100.7 to 101.1),0.9 (0.7 to 1.1),2 (1.8 to 2.3),71.5 (71.5 to 71.5),5.9 (2.5 to 10.7),0.3 (0.3 to 0.3),0.2 (0.1 to 0.3),94.8 (94.7 to 94.9),-5.5 (-5.6 to -5.3),2.5 (2 to 3),91.2 (91.2 to 91.2),4.7 (1.5 to 9.7),9 (9 to 9),5.1 (3.3 to 7.1),F
NAM,Namibia,117.5 (116.8 to 118.2),14.9 (14.4 to 15.4),2.1 (1.8 to 2.5),69 (69 to 69),6.3 (2.6 to 11.2),0 (0 to 0),0 (0 to 0),125.6 (124.7 to 126.4),20.4 (19.8 to 20.9),1.6 (1.3 to 1.9),95.4 (95.4 to 95.4),2.6 (0.7 to 5.8),0 (0 to 0),0 (0 to 0),M
NGA,Nigeria,115.8 (115.2 to 116.4),13.6 (13.2 to 14.1),0.1 (0.1 to 0.1),59.2 (59.2 to 59.2),0.4 (0.2 to 0.7),0.4 (0.4 to 0.4),0.3 (0.2 to 0.4),107.9 (107.6 to 108.2),7.3 (7.1 to 7.6),0.3 (0.2 to 0.4),54.4 (54.4 to 54.4),1.1 (0.5 to 2.1),11.6 (11.6 to 11.6),6.5 (4.1 to 9.1),F
NGA,Nigeria,122.6 (121.7 to 123.5),18.4 (17.9 to 19),0.1 (0.1 to 0.1),58.3 (58.3 to 58.3),0.4 (0.2 to 0.8),0 (0 to 0),0 (0 to 0),131.7 (130.6 to 132.9),24.1 (23.5 to 24.7),0.1 (0.1 to 0.1),75.7 (75.7 to 75.7),0.3 (0.1 to 0.6),0 (0 to 0),0 (0 to 0),M
