iso3,acat,mixing,P.mid,P1.mid,P2.mid,LTBI.mid,LTBI1.mid,LTBI2.mid,P.lo,P1.lo,P2.lo,LTBI.lo,LTBI1.lo,LTBI2.lo,P.hi,P1.hi,P2.hi,LTBI.hi,LTBI1.hi,LTBI2.hi,inc.num.mid,inc.num0.mid,inc.num.lo,inc.num0.lo,inc.num.hi,inc.num0.hi,LTBI.fmt,inc.num0.fmt,inc.num.fmt,sex,notified,CDR0,CDR
IDN,15-19,random,0.118846150156436,0.00616880818354974,0.0116277153510793,2774195.02079495,143996.89787609,271422.759489685,0.100072050999098,0.00616880818354974,0.0116277153510793,2335956.0678828,79037.6275748766,157823.263151286,0.140934126131715,0.00616880818354974,0.0116277153510793,3289788.94528808,237209.737871806,416391.237442367,22531.4520064668,19375.9585970423,11972.5735370918,10301.5316935562,37724.9311517518,32419.1512352215, 2 770 000 ( 2 340 000 to  3 290 000),    19 400 ( 10 300 to  32 400),     22 500 ( 12 000 to  37 700),B,,,
IND,10-14,assortative,0.114463817073756,0.00930717829162729,0.0181987898783486,14535177.6238312,1181871.20702342,2310971.7130098,0.0893005047336061,0.00930717829162729,0.0181987898783486,11339816.6458521,627668.449472048,1387860.35662965,0.138781287524158,0.00930717829162729,0.0181987898783486,17623129.4447207,1925348.7186522,3492901.27957305,194844.039295463,124329.845010528,97415.2160080494,62000.1383248943,325899.623567035,208007.738824728,14 500 000 (11 300 000 to 17 600 000),   124 000 ( 62 000 to 208 000),    195 000 ( 97 400 to 326 000),B,68006,54.6980493655738,34.9027869910226
IND,10-14,random,0.114463817073756,0.00930524136521941,0.0181956679647866,14535177.6238312,1181625.24659591,2310575.27709397,0.0893005047336061,0.00930524136521941,0.0181956679647866,11339816.6458521,628390.362436065,1387750.01552068,0.138781287524158,0.00930524136521941,0.0181956679647866,17623129.4447207,1917236.88112109,3477516.59263669,194811.985553896,124298.277868835,97679.2419842406,62189.4044468317,326229.656709935,207815.848052967,14 500 000 (11 300 000 to 17 600 000),   124 000 ( 62 200 to 208 000),    195 000 ( 97 700 to 326 000),B,68006,54.71194063667,34.9085297840598
IND,15-19,assortative,0.176403318575093,0.0119517058720097,0.022783459398556,22172031.8561986,1502203.05077373,2863639.93409881,0.146169649715902,0.0119517058720097,0.022783459398556,18371979.3714128,795353.008439165,1719473.95799141,0.209821355892299,0.0119517058720097,0.022783459398556,26372325.7846448,2437411.82030839,4359401.98612929,312581.392221112,194788.025360636,161997.602043718,100904.322603958,513401.067504564,320167.243690837,22 200 000 (18 400 000 to 26 400 000),   195 000 (101 000 to 320 000),    313 000 (162 000 to 513 000),B,209570,107.588749160528,67.0449378035132
IND,15-19,random,0.167788618419214,0.00887234699908007,0.0173492432258537,21089255.138444,1115160.2015872,2180616.42259194,0.138340816409114,0.00887234699908007,0.0173492432258537,17387977.806833,591793.275958319,1316098.31914517,0.200148942902216,0.00887234699908007,0.0173492432258537,25156605.7478862,1828014.36868581,3317396.21646152,242307.50932109,150974.736082135,129253.601821919,80755.6637524608,394233.136480132,245747.557488927,21 100 000 (17 400 000 to 25 200 000),   151 000 ( 80 800 to 246 000),    242 000 (129 000 to 394 000),B,209570,138.811304088644,86.489271664417
KEN,10-14,assortative,0.106761879022413,0.0087818447423536,0.0174945328387443,707790.688404569,58220.2935408023,115982.104798396,0.0866121067200185,0.0087818447423536,0.0174945328387443,574205.354953169,29726.8972799971,69100.3333160108,0.130823800313012,0.0087818447423536,0.0174945328387443,867312.083031152,102605.782814169,182068.397498386,7117.46506060725,6120.99613093647,3752.54731507117,3228.63370632195,12009.2844209111,10255.8114965975,   708 000 (   574 000 to    867 000),     6 120 (  3 230 to  10 300),      7 120 (  3 750 to  12 000),B,2039,33.3115714563938,28.6478399632079
KEN,10-14,random,0.106761879022413,0.00877792368807226,0.0174868508963097,707790.688404569,58194.2984409176,115931.176439192,0.0866121067200185,0.00877792368807226,0.0174868508963097,574205.354953169,29706.1612087484,68993.9954753438,0.130823800313012,0.00877792368807226,0.0174868508963097,867312.083031152,102322.669948023,182010.912177862,7115.01356811926,6118.35919391852,3746.28297983597,3236.10406001271,11962.6504947184,10251.3662945767,   708 000 (   574 000 to    867 000),     6 120 (  3 240 to  10 300),      7 120 (  3 750 to  12 000),B,2039,33.3259283310256,28.6577106351039
KEN,15-19,assortative,0.159177567865375,0.0107406097876405,0.0209395506167855,933418.372205533,62983.0109789927,122789.671393685,0.137880430477252,0.0107406097876405,0.0209395506167855,808531.809481621,31996.8134689615,72413.555223233,0.187695577259458,0.0107406097876405,0.0209395506167855,1100648.1789185,109042.090673674,194417.367741666,9152.09094593414,7785.40442050612,4714.15717079334,4039.85220567092,15693.3323390979,13673.1688806138,   933 000 (   809 000 to  1 100 000),     7 790 (  4 040 to  13 700),      9 150 (  4 710 to  15 700),B,5776,74.1901086703536,63.1112609579783
KEN,15-19,random,0.152539087064907,0.00843530917778878,0.0168032891152576,894490.274322224,49464.7120657176,98534.6049948941,0.132128599657925,0.00843530917778878,0.0168032891152576,774803.033294268,25139.6177376974,58464.8314709286,0.180099652406759,0.00843530917778878,0.0168032891152576,1056105.6224108,86456.555076839,155905.572582795,7455.15004206661,6341.25815772959,3918.67081562919,3370.28649496046,12539.7330990452,10874.4767303834,   894 000 (   775 000 to  1 060 000),     6 340 (  3 370 to  10 900),      7 460 (  3 920 to  12 500),B,5776,91.0860251440706,77.4766432252632
LBR,10-14,assortative,0.107076909347265,0.00821595209648188,0.0160826336045408,65506.9762159231,5026.3140938252,9838.95317341796,0.0853900400848653,0.00821595209648188,0.0160826336045408,52239.4917729184,2827.72871411684,6067.81165007069,0.133909829389834,0.00821595209648188,0.0160826336045408,81922.6858749654,8104.01095211414,14368.7069612645,598.731921306701,533.855330096727,298.426758162598,265.264811753218,1058.72109408758,942.776944774118,    65 500 (    52 200 to     81 900),       534 (   265 to     943),        599 (   298 to   1 060),B,,,
LBR,10-14,random,0.107076909347265,0.0082162256358723,0.0160831056915917,65506.9762159231,5026.48143838578,9839.24198447354,0.0853900400848653,0.0082162256358723,0.0160831056915917,52239.4917729184,2829.22643757826,6065.27378937809,0.133909829389834,0.0082162256358723,0.0160831056915917,81922.6858749654,8129.82088751379,14438.8859559931,598.901339238046,533.987423025718,298.240820620163,265.119001392771,1060.62163875307,945.199557775788,    65 500 (    52 200 to     81 900),       534 (   265 to     945),        599 (   298 to   1 060),B,,,
LBR,15-19,assortative,0.160207300242174,0.00946995155652336,0.0182290309327586,85960.829017941,5081.19720716817,9780.96883728095,0.131356658707664,0.00946995155652336,0.0182290309327586,70480.728796184,2872.26378294519,6054.42976081795,0.192144125716014,0.00946995155652336,0.0182290309327586,103096.852094185,8256.2967463157,14225.3163623575,781.388606725171,682.512324429436,455.007556971877,397.244790999431,1292.65867883637,1133.13229756545,    86 000 (    70 500 to    103 000),       683 (   397 to   1 130),        781 (   455 to   1 290),B,,,
LBR,15-19,random,0.155683704594808,0.00787118432601032,0.0154062130113236,83533.6485373903,4223.3626619641,8266.35765335578,0.127922351170221,0.00787118432601032,0.0154062130113236,68638.016743894,2380.00943233022,5090.74579600852,0.186557441130003,0.00787118432601032,0.0154062130113236,100099.260612714,6892.16817554248,12069.9468887162,669.009100551251,584.334814633411,395.03174510983,346.796318344657,1142.30922480765,1001.53996962303,    83 500 (    68 600 to    100 000),       584 (   347 to   1 000),        669 (   395 to   1 140),B,,,
LSO,10-14,assortative,0.227522854294622,0.0174395201115568,0.0350599058311901,48559.2927006841,3722.04701932912,7482.69546192759,0.183878338247119,0.0174395201115568,0.0350599058311901,39244.4182187296,2092.81059492792,4465.26171455824,0.281024205886757,0.0174395201115568,0.0350599058311901,59977.872165587,6262.31192029907,11795.5462467932,459.564064353819,408.655588518107,246.901196326507,227.491553460697,907.937610949969,762.216093958446,    48 600 (    39 200 to     60 000),       409 (   227 to     762),        460 (   247 to     908),B,93,22.7575500281894,20.2365692214784
LSO,10-14,random,0.227522854294622,0.0174429447407111,0.0350656184057854,48559.2927006841,3722.77792423101,7483.91467387316,0.183878338247119,0.0174429447407111,0.0350656184057854,39244.4182187296,2082.75027829969,4496.65481746572,0.281024205886757,0.0174429447407111,0.0350656184057854,59977.872165587,6296.54081220071,11750.8830755813,459.885318926693,408.904383994582,246.257280269387,226.311595296603,905.123519185062,763.134929862475,    48 600 (    39 200 to     60 000),       409 (   226 to     763),        460 (   246 to     905),B,93,22.7437033302221,20.2224328919759
